Date,Open,High,Low,Close,Volume,Adj Close
2000-12-01,5.493,5.534,4.994,5.11,000,5.11
2000-11-01,5.74,5.885,5.427,5.439,000,5.439
2000-10-02,5.791,5.897,5.553,5.757,000,5.757
2000-09-01,5.716,5.99,5.571,5.778,000,5.778
2000-08-01,6.02,6.02,5.683,5.729,000,5.729
2000-07-03,6.035,6.18,5.925,6.029,000,6.029
2000-06-01,6.272,6.272,5.948,6.018,000,6.018
2000-05-01,6.227,6.564,6.214,6.285,000,6.285
2000-04-03,6.002,6.291,5.706,6.214,000,6.214
2000-03-01,6.388,6.443,5.937,6.023,000,6.023
2000-02-01,6.63,6.683,6.324,6.409,000,6.409
2000-01-03,6.498,6.823,6.411,6.667,000,6.667
1999-12-01,6.224,6.44,6.063,6.435,000,6.435
1999-11-01,6.036,6.211,5.867,6.163,000,6.163
1999-10-01,5.923,6.253,5.923,6.003,000,6.003
1999-09-01,5.966,6.029,5.739,5.885,000,5.885
1999-08-02,5.898,6.162,5.717,5.979,000,5.979
1999-07-01,5.823,5.939,5.629,5.907,000,5.907
1999-06-01,5.649,6.06,5.624,5.81,000,5.81
1999-05-03,5.363,5.691,5.337,5.611,000,5.611
1999-04-01,5.208,5.367,4.998,5.35,000,5.35
1999-03-01,5.285,5.427,5.063,5.234,000,5.234
1999-02-01,4.673,5.345,4.673,5.272,000,5.272
1999-01-04,4.638,4.944,4.61,4.653,000,4.653
1998-12-01,4.678,4.878,4.498,4.638,000,4.638
1998-11-02,4.626,4.966,4.607,4.726,000,4.726
1998-10-01,4.326,4.839,4.101,4.603,000,4.603
1998-09-01,5.02,5.108,4.402,4.41,000,4.41
1998-08-03,5.474,5.474,5.017,5.032,000,5.032
1998-07-01,5.45,5.549,5.369,5.494,000,5.494
1998-06-01,5.526,5.624,5.366,5.434,000,5.434
1998-05-01,5.642,5.769,5.526,5.546,000,5.546
1998-04-01,5.641,5.825,5.404,5.667,000,5.667
1998-03-02,5.628,5.83,5.499,5.662,000,5.662
1998-02-02,5.528,5.703,5.406,5.616,000,5.616
1998-01-02,5.731,5.735,5.281,5.512,000,5.512
1997-12-01,5.851,5.977,5.661,5.739,000,5.739
1997-11-03,5.877,5.957,5.784,5.851,000,5.851
1997-10-01,6.081,6.209,5.74,5.819,000,5.819
1997-09-02,6.356,6.391,6.022,6.107,000,6.107
1997-08-01,5.992,6.425,5.992,6.33,000,6.33
1997-07-01,6.498,6.511,5.992,6.004,000,6.004
1997-06-02,6.642,6.685,6.344,6.502,000,6.502
1997-05-01,6.698,6.812,6.616,6.663,000,6.663
1997-04-01,6.898,6.986,6.675,6.702,000,6.702
1997-03-03,6.579,6.912,6.526,6.907,000,6.907
1997-02-03,6.489,6.583,6.106,6.535,000,6.535
1997-01-02,6.407,6.765,6.377,6.503,000,6.503
1996-12-02,6.056,6.459,5.998,6.407,000,6.407
1996-11-01,6.307,6.383,6.04,6.04,000,6.04
1996-10-01,6.703,6.703,6.324,6.349,000,6.349
1996-09-03,6.989,7.065,6.595,6.699,000,6.699
1996-08-01,6.772,6.981,6.429,6.936,000,6.936
1996-07-01,6.724,7.096,6.705,6.79,000,6.79
1996-06-03,6.874,7.056,6.685,6.711,000,6.711
1996-05-01,6.689,6.90,6.585,6.844,000,6.844
1996-04-01,6.312,6.731,6.237,6.633,000,6.633
1996-03-01,6.034,6.519,5.902,6.334,000,6.334
1996-02-01,5.593,6.194,5.551,6.112,000,6.112
1996-01-02,5.583,5.806,5.487,5.581,000,5.581
1995-12-01,5.733,5.908,5.339,5.575,000,5.575
1995-11-01,6.016,6.032,5.733,5.745,000,5.745
1995-10-02,6.161,6.174,5.909,6.003,000,6.003
1995-09-01,6.29,6.388,6.054,6.157,000,6.157
1995-08-01,6.433,6.665,6.261,6.273,000,6.273
1995-07-03,6.199,6.52,5.956,6.429,000,6.429
1995-06-01,6.294,6.40,5.842,6.203,000,6.203
1995-05-01,7.059,7.072,6.256,6.286,000,6.286
1995-04-03,7.203,7.203,6.93,7.046,000,7.046
1995-03-01,7.232,7.454,6.995,7.189,000,7.189
1995-02-01,7.548,7.684,7.206,7.21,000,7.21
1995-01-03,7.822,7.928,7.593,7.593,000,7.593
1994-12-01,7.883,7.989,7.717,7.827,000,7.827
1994-11-01,7.826,8.162,7.783,7.888,000,7.888
1994-10-03,7.604,7.974,7.553,7.793,000,7.793
1994-09-01,7.174,7.65,7.072,7.599,000,7.599
1994-08-01,7.176,7.384,7.033,7.165,000,7.165
1994-07-01,7.289,7.47,7.086,7.095,000,7.095
1994-06-01,7.182,7.329,6.863,7.329,000,7.329
1994-05-02,7.05,7.485,6.929,7.152,000,7.152
1994-04-04,6.908,7.176,6.779,7.035,000,7.035
1994-03-01,6.168,6.852,6.142,6.774,000,6.774
1994-02-01,5.651,6.211,5.583,6.15,000,6.15
1994-01-03,5.796,5.90,5.541,5.638,000,5.638
1993-12-01,5.813,5.847,5.622,5.783,000,5.783
1993-11-01,5.56,5.877,5.469,5.795,000,5.795
1993-10-01,5.34,5.47,5.19,5.388,000,5.388
1993-09-01,5.46,5.47,5.23,5.40,000,5.40
1993-08-02,5.85,5.87,5.42,5.45,000,5.45
1993-07-01,5.80,5.95,5.71,5.83,000,5.83
1993-06-01,6.07,6.11,5.79,5.80,000,5.80
1993-05-03,5.96,6.17,5.89,6.16,000,6.16
1993-04-01,6.06,6.16,5.85,6.05,000,6.05
1993-03-01,5.94,6.17,5.83,6.03,000,6.03
1993-02-01,6.38,6.46,5.92,6.03,000,6.03
1993-01-04,6.60,6.76,6.39,6.39,000,6.39
1992-12-01,6.94,6.94,6.65,6.70,000,6.70
1992-11-02,6.88,7.00,6.78,6.95,000,6.95
1992-10-01,6.23,6.86,6.23,6.80,000,6.80
1992-09-01,6.56,6.56,6.29,6.37,000,6.37
1992-08-03,6.72,6.73,6.46,6.62,000,6.62
1992-07-01,7.10,7.10,6.60,6.72,000,6.72
1992-06-01,7.39,7.39,7.12,7.14,000,7.14
1992-05-01,7.56,7.58,7.20,7.33,000,7.33
1992-04-01,7.46,7.61,7.33,7.61,000,7.61
1992-03-02,7.38,7.71,7.38,7.54,000,7.54
1992-02-03,7.36,7.47,7.20,7.27,000,7.27
1992-01-02,6.78,7.31,6.76,7.31,000,7.31
1991-12-02,7.32,7.32,6.71,6.71,000,6.71
1991-11-01,7.48,7.56,7.33,7.38,000,7.38
1991-10-01,7.45,7.69,7.39,7.47,000,7.47
1991-09-03,7.81,7.83,7.47,7.47,000,7.47
1991-08-01,8.20,8.20,7.74,7.82,000,7.82
1991-07-01,8.26,8.36,8.20,8.20,000,8.20
1991-06-03,8.14,8.36,8.14,8.24,000,8.24
1991-05-01,8.01,8.14,7.97,8.06,000,8.06
1991-04-01,8.07,8.15,7.95,8.02,000,8.02
1991-03-01,8.12,8.25,8.02,8.05,000,8.05
1991-02-01,7.91,8.02,7.77,8.02,000,8.02
1991-01-02,7.97,8.25,7.93,8.03,000,8.03
1990-12-03,8.22,8.22,7.91,8.08,000,8.08
1990-11-01,8.57,8.58,8.26,8.26,000,8.26
1990-10-01,8.71,8.92,8.62,8.65,000,8.65
1990-09-04,8.90,9.04,8.81,8.82,000,8.82
1990-08-01,8.29,9.05,8.29,8.86,000,8.86
1990-07-02,8.43,8.57,8.34,8.36,000,8.36
1990-06-01,8.44,8.58,8.38,8.43,000,8.43
1990-05-01,9.08,9.09,8.60,8.60,000,8.60
1990-04-02,8.65,9.07,8.55,9.04,000,9.04
1990-03-01,8.59,8.73,8.51,8.65,000,8.65
1990-02-01,8.42,8.62,8.31,8.51,000,8.51
1990-01-02,7.94,8.51,7.94,8.43,000,8.43
1989-12-01,7.81,7.95,7.77,7.93,000,7.93
1989-11-01,7.91,8.00,7.80,7.84,000,7.84
1989-10-02,8.28,8.28,7.86,7.92,000,7.92
1989-09-01,8.19,8.32,8.09,8.31,000,8.31
1989-08-01,7.74,8.29,7.74,8.26,000,8.26
1989-07-03,8.09,8.13,7.82,7.82,000,7.82
1989-06-01,8.61,8.61,8.10,8.10,000,8.10
1989-05-01,9.14,9.16,8.58,8.60,000,8.60
1989-04-03,9.21,9.34,9.02,9.02,000,9.02
1989-03-01,9.36,9.53,9.23,9.30,000,9.30
1989-02-01,8.99,9.38,8.95,9.32,000,9.32
1989-01-03,9.23,9.27,8.93,9.01,000,9.01
1988-12-01,9.01,9.21,8.95,9.14,000,9.14
1988-11-01,8.68,9.17,8.68,9.06,000,9.06
1988-10-03,8.84,8.87,8.65,8.65,000,8.65
1988-09-01,9.25,9.25,8.87,8.87,000,8.87
1988-08-01,9.07,9.41,8.99,9.25,000,9.25
1988-07-01,8.77,9.16,8.77,9.12,000,9.12
1988-06-01,9.03,9.07,8.69,8.82,000,8.82
1988-05-02,8.94,9.24,8.89,9.20,000,9.20
1988-04-04,8.68,8.87,8.52,8.87,000,8.87
1988-03-01,8.15,8.58,8.12,8.57,000,8.57
1988-02-01,8.26,8.32,8.11,8.16,000,8.16
1988-01-04,8.83,8.97,8.26,8.26,000,8.26
1987-12-01,9.01,9.28,8.78,8.83,000,8.83
1987-11-02,8.98,9.11,8.72,8.99,000,8.99
1987-10-01,9.66,10.23,8.80,8.88,000,8.88
1987-09-01,9.05,9.64,9.05,9.63,000,9.63
1987-08-03,8.81,9.02,8.56,9.00,000,9.00
1987-07-01,8.36,8.66,8.28,8.66,000,8.66
1987-06-01,8.45,8.72,8.23,8.38,000,8.38
1987-05-01,8.39,8.92,8.39,8.49,000,8.49
1987-04-01,7.59,8.47,7.54,8.21,000,8.21
1987-03-02,7.17,7.54,7.14,7.51,000,7.51
1987-02-02,7.23,7.37,7.18,7.19,000,7.19
1987-01-02,7.18,7.18,7.01,7.18,000,7.18
1986-12-01,7.18,7.23,7.01,7.23,000,7.23
1986-11-03,7.29,7.40,7.11,7.15,000,7.15
1986-10-01,7.41,7.66,7.28,7.34,000,7.34
1986-09-02,7.03,7.67,7.03,7.45,000,7.45
1986-08-01,7.34,7.47,6.95,6.95,000,6.95
1986-07-01,7.37,7.53,7.14,7.34,000,7.34
1986-06-02,8.32,8.39,7.35,7.35,000,7.35
1986-05-01,7.45,8.05,7.40,8.05,000,8.05
1986-04-01,7.37,7.58,6.98,7.38,000,7.38
1986-03-03,7.99,8.12,7.39,7.39,000,7.39
1986-02-03,9.02,9.11,8.13,8.13,000,8.13
1986-01-02,9.04,9.49,8.94,9.08,000,9.08
1985-12-02,9.69,9.69,8.99,9.00,000,9.00
1985-11-01,9.98,9.98,9.58,9.59,000,9.59
1985-10-01,10.29,10.42,9.97,10.01,000,10.01
1985-09-03,10.24,10.52,10.16,10.31,000,10.31
1985-08-01,10.51,10.66,10.10,10.28,000,10.28
1985-07-01,10.19,10.67,9.93,10.57,000,10.57
1985-06-03,10.05,10.54,9.83,10.25,000,10.25
1985-05-01,11.27,11.29,10.28,10.28,000,10.28
1985-04-01,11.66,11.77,11.13,11.41,000,11.41
1985-03-01,11.86,12.02,11.65,11.65,000,11.65
1985-02-01,11.29,11.91,11.29,11.91,000,11.91
1985-01-02,11.70,11.70,11.06,11.17,000,11.17
1984-12-03,11.56,11.70,11.29,11.55,000,11.55
1984-11-01,11.66,11.81,11.24,11.58,000,11.58
1984-10-01,12.54,12.54,11.74,11.79,000,11.79
1984-09-04,12.88,12.92,12.25,12.47,000,12.47
1984-08-01,12.81,12.84,12.61,12.79,000,12.79
1984-07-02,13.87,13.87,12.89,12.91,000,12.91
1984-06-01,13.63,13.84,13.21,13.84,000,13.84
1984-05-01,12.82,13.99,12.82,13.91,000,13.91
1984-04-02,12.56,12.82,12.40,12.82,000,12.82
1984-03-01,12.07,12.53,11.99,12.53,000,12.53
1984-02-01,11.64,12.09,11.60,12.04,000,12.04
1984-01-03,11.86,11.86,11.54,11.67,000,11.67
1983-12-01,11.63,11.97,11.63,11.82,000,11.82
1983-11-01,11.69,11.85,11.55,11.63,000,11.63
1983-10-03,11.47,11.74,11.31,11.74,000,11.74
1983-09-01,11.97,12.01,11.41,11.44,000,11.44
1983-08-01,11.80,12.20,11.54,11.98,000,11.98
1983-07-01,10.93,11.76,10.93,11.76,000,11.76
1983-06-01,10.77,11.11,10.64,10.96,000,10.96
1983-05-02,10.26,10.81,10.12,10.81,000,10.81
1983-04-04,10.60,10.60,10.27,10.27,000,10.27
1983-03-01,10.22,10.66,10.22,10.62,000,10.62
1983-02-01,10.78,11.00,10.26,10.27,000,10.27
1983-01-03,10.32,10.80,10.27,10.80,000,10.80
1982-12-01,10.74,10.74,10.36,10.36,000,10.36
1982-11-01,10.56,10.79,10.42,10.79,000,10.79
1982-10-01,11.51,11.72,10.39,10.71,000,10.71
1982-09-01,12.76,12.76,11.73,11.73,000,11.73
1982-08-02,13.41,13.85,12.24,12.81,000,12.81
1982-07-01,14.40,14.50,13.51,13.68,000,13.68
1982-06-01,13.93,14.76,13.86,14.44,000,14.44
1982-05-03,13.95,13.95,13.46,13.71,000,13.71
1982-04-01,14.10,14.18,13.66,13.87,000,13.87
1982-03-01,13.85,14.19,13.59,14.18,000,14.18
1982-02-01,14.58,14.95,13.87,14.03,000,14.03
1982-01-04,14.19,14.83,14.14,14.14,000,14.14
1981-12-01,13.37,14.17,13.15,13.98,000,13.98
1981-11-02,14.57,14.57,12.92,13.13,000,13.13
1981-10-01,15.75,15.75,14.63,14.63,000,14.63
1981-09-01,15.41,15.84,14.78,15.84,000,15.84
1981-08-03,14.95,15.41,14.40,15.41,000,15.41
1981-07-01,14.04,14.71,13.81,14.67,000,14.67
1981-06-01,13.46,13.86,13.08,13.86,000,13.86
1981-05-01,14.05,14.69,13.50,13.50,000,13.50
1981-04-01,13.14,14.11,13.14,14.11,000,14.11
1981-03-02,13.62,13.62,12.58,13.13,000,13.13
1981-02-02,12.86,13.65,12.86,13.43,000,13.43
1981-01-02,12.42,12.87,12.11,12.68,000,12.68
1980-12-01,12.92,13.57,12.14,12.43,000,12.43
1980-11-03,12.46,13.04,12.46,12.72,000,12.72
1980-10-01,11.78,12.48,11.29,12.46,000,12.46
1980-09-02,11.32,12.07,11.08,11.86,000,11.86
1980-08-01,10.76,11.89,10.69,11.55,000,11.55
1980-07-01,10.13,10.76,10.01,10.76,000,10.76
1980-06-02,10.31,10.31,9.47,10.09,000,10.09
1980-05-01,10.57,10.57,9.80,10.25,000,10.25
1980-04-01,12.69,12.69,10.63,10.76,000,10.76
1980-03-03,12.79,13.17,12.35,12.64,000,12.64
1980-02-01,11.29,13.65,11.29,12.72,000,12.72
1980-01-02,10.50,11.21,10.50,11.13,000,11.13
1979-12-03,10.44,10.58,10.13,10.33,000,10.33
1979-11-01,10.79,11.00,10.24,10.38,000,10.38
1979-10-01,9.51,11.02,9.47,10.72,000,10.72
1979-09-04,9.32,9.44,9.25,9.44,000,9.44
1979-08-01,8.99,9.24,8.91,9.24,000,9.24
1979-07-02,8.76,9.06,8.76,9.01,000,9.01
1979-06-01,9.05,9.06,8.79,8.81,000,8.81
1979-05-01,9.36,9.39,9.01,9.06,000,9.06
1979-04-02,9.11,9.35,9.07,9.35,000,9.35
1979-03-01,9.17,9.17,9.06,9.11,000,9.11
1979-02-01,8.94,9.21,8.89,9.17,000,9.17
1979-01-02,9.18,9.18,8.93,8.95,000,8.95
1978-12-01,8.80,9.16,8.80,9.15,000,9.15
1978-11-01,8.66,8.87,8.66,8.86,000,8.86
1978-10-02,8.58,8.96,8.51,8.96,000,8.96
1978-09-01,8.38,8.56,8.29,8.56,000,8.56
1978-08-01,8.54,8.55,8.32,8.39,000,8.39
1978-07-03,8.59,8.68,8.55,8.56,000,8.56
1978-06-01,8.41,8.62,8.37,8.62,000,8.62
1978-05-01,8.24,8.42,8.24,8.42,000,8.42
1978-04-03,8.13,8.24,8.08,8.24,000,8.24
1978-03-01,8.05,8.15,7.97,8.15,000,8.15
